Rank,Artist,Album/Single,Year,Format,Genre
424,Peppermint,Light a Light,1985,Single,Hi-NRG
425,Miquel Brown,"Manpower / He's a Saint, He's a Sinner",1984,Single,Hi-NRG
426,Free Enterprise,Make It on My Own / Foxy Lady,1982,Single,Hi-NRG
427,Tapps,My Forbidden Lover,1983,Single,Hi-NRG
428,The Flirts,Peligro = Danger,1984,Single,Hi-NRG
429,J.D. Hall,#1 Lover,1985,Single,Hi-NRG
430,Dressed to Kill,Crash Bam Boom,1987,Single,Hi-NRG
431,Kim Wilde,You Keep Me Hangin' On / Loving You,1986,Single,Hi-NRG
432,Divine,Shake It Up,1983,Single,Hi-NRG
433,Carol Hitchcock,Get Ready,1987,Single,Hi-NRG
434,Miro Miroe,Nights of Arabia / Do Androids Dream.....,1982,Single,Hi-NRG
435,Claudja Barry,Born to Love / Your Sweet Touch,1984,Single,Hi-NRG
436,X Ray Connection,Get Ready,1983,Single,Hi-NRG
437,Zwei Maenner,Don't Go,1986,Single,Hi-NRG
438,Doris D & The Pins,Shine Up / Just Me and You,1980,Single,Hi-NRG
439,Eric,Who's Your Boyfriend?,1984,Single,Hi-NRG
440,J.D. Hall,Wonder Woman,1981,Single,Hi-NRG
441,Orient Affair,Classic Dance,1986,Single,Hi-NRG
442,Sunbelt,Spin It,1981,Single,Hi-NRG
443,Valery Allington,Stop,1982,Single,Hi-NRG
444,Samantha Gilles,Let Me Feel It,1985,Single,Hi-NRG
445,Lana Pellay,Pistol in My Pocket,1986,Single,Hi-NRG
446,Bobby O,I'm So Hot for You,1982,Single,Hi-NRG
447,Tapps,Runaway (With My Love),1984,Single,Hi-NRG
448,Sunbelt,Spin It,1981,Single,Hi-NRG
449,The I-Spies,Change of Life,1981,Single,Hi-NRG
450,The Flirts,Helpless (You Took My Love),1984,Single,Hi-NRG
451,Peppermint,Light a Light,1985,Single,Hi-NRG
452,Two Girls,Another Boy in Town,1983,Single,Hi-NRG
453,Soif De La Vie,Goddess of Love,1985,Single,Hi-NRG
454,Mike Mareen,Agent of Liberty,1986,Single,Hi-NRG
455,Fancy,Slice Me Nice / Come Inside,1984,Single,Hi-NRG
456,Trans-X,Living on Video / Digital World,1983,Single,Hi-NRG
457,Tapps,Burnin' With Fire,1983,Single,Hi-NRG
458,Two Girls,Another Boy in Town,1983,Single,Hi-NRG
459,Toasty,The Knowledge / Like Sun,2004,Single,Dubstep
460,Millie & Andrea,Black Hammer / Gunshot,2008,Single,Dubstep
461,The Bug,Skeng,2007,Single,Dubstep
462,Goth-Trad,Far East Assassin,2008,Single,Dubstep
463,Distance,Traffic / Cyclops,2006,Single,Dubstep
464,SKisM,The Blank,2009,Single,Dubstep
465,Skream,Sub Island / Pass the Red Stripe,2007,Single,Dubstep
466,Tempa T,Next Hype,2009,Single,Dubstep
467,Joker,Kapsize EP,2007,EP,Dubstep
468,Guido,Orchestral Lab / Way U Make Me Feel,2009,Single,Dubstep
469,16bit,In the Death Car EP,2009,EP,Dubstep
470,The Bug,Jah War,2007,Single,Dubstep
471,"Benny Ill, Kode9 & The Culprit",Fat Larry's Skank / Tales From the Bass Side,2002,Single,Dubstep
472,Broken Note,Crux / Zealot,2008,Single,Dubstep
473,Burial,South London Boroughs,2005,EP,Dubstep
474,Babylon System & Noah D / Babylon System & SPL,Examination of Time / Shevil,2008,Single,Dubstep
475,Rustie,Zig-Zag,2008,Single,Dubstep
476,Emalkay,Gut Feeling / Frequency,2006,Single,Dubstep
477,Loefah,Mud / Rufage,2006,Single,Dubstep
478,Goth-Trad,Cut End / Flags,2007,Single,Dubstep
479,BAR9,So Good / Dancin With the Devil,2009,Single,Dubstep
480,Reso,If Ya Can't Beat Em,2008,Single,Dubstep
481,Burial,Ghost Hardware,2007,EP,Dubstep
482,Benga,Crunked Up / Electro Music / Skunk Tip,2007,Single,Dubstep
483,Milanese,Adapt,2007,EP,Dubstep
484,Vex'd,Bombardment of Saturn / Killing Floor,2006,Single,Dubstep
485,Emalkay,Mecha / The Rogue,2007,Single,Dubstep
486,Kromestar,Kalawanji / Surgery,2006,Single,Dubstep
487,Horsepower Productions,One U Need / Giving Up on Love,2001,Single,Dubstep
488,Loefah & Skream,28g / Fearless,2005,Single,Dubstep
489,Digital Mystikz,Neverland / Stuck,2005,Single,Dubstep
490,Juju,Red Up,2006,Single,Dubstep
491,Scuba,Words / Thank U,2006,Single,Dubstep
492,Martyn,Velvet / Twenty Four,2007,Single,Dubstep
493,Hatcha & Benga,10 Tons Heavy / Progression,2006,Single,Dubstep
494,luke.envoy,Gamma / Honour Kill,2006,Single,Dubstep
495,Distance,Fallen (Vex'd Remix) / Delight,2007,Single,Dubstep
496,Coki,Spongebob / The End,2007,Single,Dubstep
497,Peverelist,Erstwhile Rhythm / The Grind,2007,Single,Dubstep
498,Milanese,Barry Dub 2007 / Double Face,2007,Single,Dubstep
499,Toasty,Take It Personal / Angel,2005,Single,Dubstep
500,Tes La Rok,Uprise / Kill Dem,2007,Single,Dubstep
501,BAR9,Shut Ya Mouth / Rapture,2009,Single,Dubstep
502,Loefah & Skream,28g / Fearless,2005,Single,Dubstep
503,Kode9 + The Spaceape,Sine of the Dub / Stalker,2006,Single,Dubstep
504,The Others,Monster Mash / Bazooka,2009,Single,Dubstep
505,KOAN Sound,Akira / Endorphin,2010,Single,Dubstep
506,Babylon System,Loaded / Dancin Shoes,2007,Single,Dubstep
507,Skream,Tapped / Dutch Flowerz,2006,Single,Dubstep
508,Unitz,The Drop / Mornin Blues,2008,Single,Dubstep
509,Joker / 2000F & J Kamata,Digidesign / You Don't Know What Love Is,2009,Single,Dubstep
510,Ikonika,Please / Simulacrum,2008,Single,Dubstep
511,Parson,Throw Some Ds,2007,Single,Dubstep
512,Emalkay,Explicit / Heroics,2009,Single,Dubstep
513,Akira Kiteshi,Pinball,2009,Single,Dubstep
514,Scuba,Hard Boiled / Tell Her,2008,Single,Dubstep
515,Guns n' Bombs,Nothing Is Getting Us Anywhere,2006,Single,New Electro
516,Phones,Sharpen the Knives / Worryin',2006,Single,New Electro
517,Proxy,Decoy,2007,Single,New Electro
518,Computor Rockers,Computor Interface,2007,EP,New Electro
519,SebastiAn,Walkman 2,2007,EP,New Electro
520,Anthony Rother,Come With Me / Bodytalk,2003,Single,New Electro
521,Peaches,The Teaches of Peaches,2000,N/A,New Electro
522,PUZIQUe,Don't Go,2007,EP,New Electro
523,The Juan Maclean,You Can't Have It Both Ways / My Time Is Running Out,2002,Single,New Electro
524,Volsoc,Compuphonic Intelligence,2002,EP,New Electro
525,John Lord Fonda,Voltage EP,2004,EP,New Electro
526,Miss Kittin & The Hacker,1982,1998,Single,New Electro
527,Marco Dos Santos,Not on the Guest-List,2005,Single,New Electro
528,SebastiAn,Smoking Kills (?),2005,EP,New Electro
529,ZZT,Lower State of Consciousness,2007,Single,New Electro
530,LindstrÃ¸m,I Feel Space,2005,Single,New Electro
531,Tiga,You Gonna Want Me,2005,Single,New Electro
532,Benjamin Theves,Texas,2005,Single,New Electro
533,Goose,Black Gloves,2006,Single,New Electro
534,Alex Gopher,Motorcycle,2006,Single,New Electro
535,Kaos featuring Khan,Cerebral Tremolo,2006,Single,New Electro
536,S.I. Futures,Freestyle Disco,2001,Single,New Electro
537,Proxy,Destroy,2006,Single,New Electro
538,Fukkk Offf,The Bottom,2007,EP,New Electro
539,Danger,09/14 2007,2007,EP,New Electro
540,Various Artists,Eurogirls Go to Baltimore Part 1,2007,EP,New Electro
541,Busy P,Rainbow Man,2007,Single,New Electro
542,Passions,Emergency,2007,Single,New Electro
543,Revolte,Fucking on Music,2007,Single,New Electro
544,Jence,Wired,2007,Single,New Electro
545,The Whip,Divebomb,2007,Single,New Electro
546,Anthony Rother,Bad to the Bone / Back Home,2003,Single,New Electro
547,We Are Terrorists,Don't Panic,2007,EP,New Electro
548,D.I.M.,Is You,2007,Single,New Electro
549,Fukkk Offf,Rave Is King,2008,EP,New Electro
550,Don Rimini,Absolutely Rad EP,2008,EP,New Electro
551,Zero Cash,Pushit / Missing,2008,Single,New Electro
552,Just a Band,We Are,2008,EP,New Electro
553,Hey Today!,Walk Through,2008,Single,New Electro
554,Tom Deluxx,Curse Words EP,2008,EP,New Electro
555,Junkie XL,Booming Back at You,2008,N/A,New Electro
556,Guns n' Bombs,Riddle of Steel,2008,Single,New Electro
557,Anthony Rother,My Name Is Telekraft,2008,Single,New Electro
558,S'Express,Stupid Little Girls,2008,Single,New Electro
559,Streetlife DJs,Gunn Crime,2008,Single,New Electro
560,Proxy,Dance in Dark EP,2008,EP,New Electro
561,Digitalism,Pogo (Remixes 2008),2008,EP,New Electro
562,Rafale,"Rock It, Don't Stop It",2008,Single,New Electro
563,Raw Man,Wargame,2008,Single,New Electro
564,I Scream Ice Cream,Trust Tissue,2008,Single,New Electro
565,Alex Smoke,Don't See the Point,2005,Single,New Electro
566,Boy 8-Bit,The Suspense Is Killing Me,2008,EP,New Electro
567,Don Rimini,Kick 'N Run EP,2008,EP,New Electro
568,Kamui,Electro Slut,2008,Single,New Electro
569,Mr. Oizo,Nazis,2006,Single,New Electro
570,Yuksek,Tonight,2008,Single,New Electro
571,Shadow Dancer,Soap / Northern,2008,Single,New Electro
572,Fukkk Offf,I'm a Freak,2007,EP,New Electro
573,Proxy,Raven,2008,Single,New Electro
574,Don Downing,Dream World / The Miracle,1973,Single,Disco
575,First Choice,Armed and Extremely Dangerous / Gonna Keep On Lovin' Him,1973,Single,Disco
576,Harold Melvin & The Blue Notes,The Love I Lost (Part 1) / The Love I Lost (Part 2),1973,Single,Disco
577,Jackson 5,Dancing Machine / It's Too Late to Change the Time,1974,Single,Disco
578,First Choice,The Player - Part 1 / The Player - Part 2,1974,Single,Disco
579,Boney M.,"Baby, Do You Wanna Bump? (Part I & II)",1975,Single,Disco
580,Disco Tex & The Sex-O-Lettes,I Wanna Dance Wit' Choo (Doo Dat Dance),1975,Single,Disco
581,First Choice,Love and Happiness (Part 1 & 2),1974,Single,Disco
582,George McCrae,Rock Your Baby / Rock Your Baby (Part 2),1974,Single,Disco
583,Wild Fantasy,Jungle Drums / Africa,1979,Single,Disco
584,People's Choice,Do It Any Way You Wanna / The Big Hurt,1975,Single,Disco
585,First Choice,Guilty / Wake Up to Me,1974,Single,Disco
586,Labelle,Lady Marmalade / Space Children,1974,Single,Disco
587,The Sylvers,Boogie Fever / Free Style,1975,Single,Disco
588,Hot Blood,Soul Dracula / Dracula's Them,1975,Single,Disco
589,Silver Convention,"Fly, Robin, Fly / Tiger Baby",1975,Single,Disco
590,Donna Summer,Love to Love You Baby / Need-a-Man Blues,1975,Single,Disco
591,Maxine Nightingale,Right Back Where We Started From / Believe in What You Do,1975,Single,Disco
592,Gloria Gaynor,"Reach Out, I'll Be There / Searchin'",1975,Single,Disco
593,The Salsoul Orchestra,Salsoul Hustle / Salsoul,1975,Single,Disco
594,Bohannon,Foot Stompin Music / Dance With Your Parno,1975,Single,Disco
595,Roberta Kelly,Love Power / Drifter,1975,Single,Disco
596,Barbara Pennington,Twenty Four Hours a Day / I Can't Erase the Thoughts of You,1976,Single,Disco
597,Giorgio,I Wanna Funk With You Tonite / Knights in White Satin,1976,Single,Disco
598,Carl Bean,I Was Born This Way,1977,Single,Disco
599,Four Below Zero,My Baby's Got E.S.P.,1976,Single,Disco
600,Sesso Matto,Sesso Matto,1976,Single,Disco
601,Jakki,You Are the Star,1976,Single,Disco
602,First Choice,First Choice Theme / Ain't He Bad / Are You Ready for Me,1976,Single,Disco
603,Carol Williams,More,1976,Single,Disco
604,Brass Construction,Movin' / Talkin',1976,Single,Disco
605,Vicki Sue Robinson,Turn the Beat Around / Lack of Respect,1976,Single,Disco
606,Candi Staton,Young Hearts Run Free / I Know,1976,Single,Disco
607,Thelma Houston,Don't Leave Me This Way / Today Will Soon Be Yesterday,1976,Single,Disco
608,Double Exposure,Ten Percent,1976,Single,Disco
609,The Disco Fox,The Fox,1976,EP,Disco
610,The Andrea True Connection,"More, More, More / More, More, More Part II",1976,Single,Disco
611,Roberta Kelly,Trouble-Maker / Family,1976,Single,Disco
612,Sister Sledge,Lost in Music / Thinking of You,1979,Single,Disco
613,Stargard,"Theme Song From ""Which Way Is Up"" / Disco Rufus",1977,Single,Disco
614,The Salsoul Orchestra,Getaway / Magic Bird of Fire,1977,Single,Disco
615,Hot Chocolate,Mindless Boogie / Don't Turn It Off,1979,Single,Disco
616,Sylvester,"Over and Over / Down, Down, Down",1978,Single,Disco
617,Giorgio,From Here to Eternity,1977,N/A,Disco
618,Chic,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah) / SÃ£o PÃ£ulo",1977,Single,Disco
619,Aleem,Release Yourself,1984,Single,Disco
620,Donna Summer,Love's Unkind / Autumn Changes,1977,Single,Disco
621,Cheryl Lynn,You Saved My Day,1978,Single,Disco
622,Cerrone,Take Me / Cerrone's Paradise,1977,Single,Disco
623,Herman's Rocket,Space Woman / Green Creatures,1977,Single,Disco
624,Brainstorm,Lovin' Is Really My Game / Stormin',1977,Single,Disco
625,General Johnson,Can't Nobody Love Me Like You Do / Lies,1978,Single,Disco
626,Roy Ayers,Running Away / Cincinnati Growl,1977,Single,Disco
627,The Emotions,Best of My Love / A Feeling Is,1977,Single,Disco
628,Gibson Brothers,Non-Stop Dance / Such a Funky Way,1977,Single,Disco
629,Michele,Magic Love,1977,Single,Disco
630,Michele,Can't You Feel It,1977,Single,Disco
631,ORS,Moon Boots / Moon Boots (instrumental),1977,Single,Disco
632,Judy Cheeks,Mellow Lovin' / Darling That's Me,1977,Single,Disco
633,Melba Moore,Standing Right Here / Living Free,1977,Single,Disco
634,Kebekelektrik,Magic Fly,1977,Single,Disco
635,First Choice,Doctor Love,1977,Single,Disco
636,The Players Association,Love Hangover / I Like It,1977,Single,Disco
637,Wayne St. John,Something's Up (Love Me Like the First Time),1977,Single,Disco
638,Heatwave,Boogie Nights / All You Do Is Dial,1977,Single,Disco
639,Ripple,The Beat Goes On and On / Facts of Life,1977,Single,Disco
640,Baccara,"Yes Sir, I Can Boogie / Cara Mia",1977,Single,Disco
641,The Trammps,Disco Inferno (Part 1) / Disco Inferno (Part 2),1977,Single,Disco
642,T-Connection,Do What You Wanna Do / Got to See My Lady,1977,Single,Disco
643,Cerrone,Give Me Love / Love Is Here,1978,Single,Disco
644,Carrie Lucas,I Gotta Keep Dancin' / What's the Question,1977,Single,Disco
645,Cerrone,Supernature / In the Smoke,1977,Single,Disco
646,D.D. Sound,Disco Bass,1977,Single,Disco
647,Trax,Watch Out for the Boogie Man / Breathless,1977,Single,Disco
648,Roberta Kelly,Zodiacs / Moondreaming,1977,Single,Disco
649,El Coco,Cocomotion / Love to the World,1977,Single,Disco
650,Space,"Carry On, Turn Me On / Tango in Space",1977,Single,Disco
651,Sounds of Inner City,"Mary Hartman, Mary Hartman",1976,Single,Disco
652,Space,Magic Fly / Ballad for Space Lovers,1977,Single,Disco
653,Munich Machine,Get on the Funk Train,1977,Single,Disco
654,Hot R.S.,House of the Rising Sun,1977,Single,Disco
655,Ronnie Jones,Video Games / We Make the Music,1980,Single,Disco
656,Sylvester,You Make Me Feel (Mighty Real) / Was It Something I Said,1978,Single,Disco
657,Bettye Lavette,Doin' the Best That I Can,1978,Single,Disco
658,Hot Chocolate,Every 1's a Winner / Power of Love,1978,Single,Disco
659,Nick Straker Band,A Walk in the Park / Something in the Music,1980,Single,Disco
660,"Jimmy ""Bo"" Horne",Spank / I Wanna Go Home With You,1978,Single,Disco
661,Eddy Rosemond,(Wake Up and Move) Funk It / Between Two Memories,1981,Single,Disco
662,Dan Hartman,Instant Replay / Instant Replay (Replayed),1978,Single,Disco
663,Boney M.,El Lute / Gotta Go Home,1979,Single,Disco
664,Bonnie Pointer,Free Me From My Freedom / Tie Me to a Tree (Handcuff Me),1978,Single,Disco
665,Chic,Le Freak / Savoir Faire,1978,Single,Disco
666,Gwen Guthrie,Seventh Heaven,1986,Single,Disco
667,Tasha Thomas,Shoot Me (With Your Love),1978,Single,Disco
668,Munich Machine,A Whiter Shade of Pale / It's All Wrong (But It's Alright),1978,Single,Disco
669,Transvolta,Disco Computer / You Are Disco,1978,Single,Disco
670,Cerrone,Look for Love / Give Me Love,1979,Single,Disco
671,Harvey Mason,Groovin' You,1979,Single,Disco
672,The Real Thing,Let's Go Disco / Plastic Man,1978,Single,Disco
673,Tata Vega,I Just Keep Thinking About You Baby / Music in My Heart,1978,Single,Disco
674,Patrick Adams presents Phreek,Weekend (Remix) / Have a Good Day,1978,Single,Disco
675,Cristina,Disco Clone / Disco 'O',1978,Single,Disco
676,Sweet Cream,I Don't Know What I'd Do (If You Ever Left Me),1978,Single,Disco
677,Claudja Barry,Boogie Woogie Dancin' Shoes / Boogie Tonight,1978,Single,Disco
678,Rockets,On the Road Again / Space Rock,1978,Single,Disco
679,Azoto,Havah Nagilah,1978,Single,Disco
680,"Jimmy ""Bo"" Horne",Let Me (Let Me Be Your Lover) / Ask the Birds and the Bees,1978,Single,Disco
681,The Real Thing,Can You Feel the Force? / Children of the Ghetto,1978,Single,Disco
682,Donna Summer,Last Dance / With Your Love,1978,Single,Disco
683,Heatwave,The Groove Line / Happiness Togetherness,1978,Single,Disco
684,Goody Goody,#1 Dee Jay / You Know How Good It Is,1978,Single,Disco
685,John Davis and The Monster Orchestra,Ain't That Enough for You / Disco Fever,1979,Single,Disco
686,Gaz,"Sing Sing / The Good, the Bad and the Ugly",1978,Single,Disco
687,The Raes,A Little Lovin' (Keeps the Doctor Away),1978,Single,Disco
688,Dinosaur,Kiss Me Again,1978,Single,Disco
689,Donna Summer,Rumour Has It / Once Upon a Time,1978,Single,Disco
690,Chanson,Don't Hold Back / Did You Ever,1978,Single,Disco
691,Teri DeSario,The Stuff Dreams Are Made Of / Ain't Nothing Gonna Keep Me From You,1978,Single,Disco
692,Foxy,Get Off / You Make Me Hot,1978,Single,Disco
693,Eddie Henderson,Prance On / Say You Will,1978,Single,Disco
694,Five Special,Why Leave Us Alone,1979,Single,Disco
695,Instant Funk,Got My Mind Made Up,1978,Single,Disco
696,A Taste of Honey,Boogie Oogie Oogie / World Spin,1978,Single,Disco
697,Cheryl Lynn,Got to Be Real / Star Love,1978,Single,Disco
698,"Evelyn ""Champagne"" King",Shame / Dancin' Dancin' Dancin',1977,Single,Disco
699,Edwin Starr,Contact / Don't Waste Your Time,1979,Single,Disco
700,Chic,Everybody Dance / You Can Get By,1977,Single,Disco
701,Judy Cheeks,The Little Girl in Me / Why Don't You Kiss Me Baby,1978,Single,Disco
702,"Jimmy ""Bo"" Horne",Dance Across the Floor / It's Your Sweet Love,1978,Single,Disco
703,James Wells,That's the Way the Wind Blows / True Love Is My Destiny,1978,Single,Disco
704,Zulema,Change,1978,Single,Disco
705,Lorraine Johnson,Feed the Flame,1978,Single,Disco
706,Cissy Houston,Think It Over / An Umbrella Song,1978,Single,Disco
707,T.H.P. Orchestra,Two Hot for Love / Dawn Patrol,1978,Single,Disco
708,Chilly,For Your Love / C'mon Baby,1978,Single,Disco
709,The Michael Zager Band,Let's All Chant / Love Express,1978,Single,Disco
710,Madleen Kane,C'est si bon / Let's Make Love,1978,Single,Disco
711,Buari,Koko Si / I'm Ready,1978,Single,Disco
712,Gonzalez,Haven't Stopped Dancing Yet / Just Let It Lay,1978,Single,Disco
713,Roberta Kelly,Gettin' the Spirit / My Sweet Lord,1978,Single,Disco
714,Bumblebee Unlimited,Lady Bug,1978,Single,Disco
715,Gloria Gaynor,I Will Survive / Substitute,1978,Single,Disco
716,Sylvester,Dance (Disco Heat) / Grateful,1978,Single,Disco
717,Patrick Hernandez,Born to Be Alive,1979,Single,Disco
718,Chic,I Want Your Love / (Funny) Bone,1978,Single,Disco
719,The Spinners,Working My Way Back to You / Disco Ride,1979,Single,Disco
720,Lenny Williams,You Got Me Running,1978,Single,Disco
721,Sylvester,Stars,1979,Single,Disco
722,Sylvester,I (Who Have Nothing) / You Make Me Feel (Mighty Real) / I Need Somebody to Love Tonight,1979,Single,Disco
723,Michael Jackson,Off the Wall / Working Day and Night,1979,Single,Disco
724,Goma de mascar,Goma de mascar,1979,Single,Disco
725,Skatt Bros.,Life at the Outpost / Midnight Companion,1980,Single,Disco
726,Stephanie Mills,Put Your Body in It / What Cha Gonna Do With My Lovin',1979,Single,Disco
727,Grace Jones,On Your Knees,1979,Single,Disco
728,Sister Sledge,He's the Greatest Dancer / We Are Family,1978,Single,Disco
729,Black Ivory,Mainline / Dance,1979,Single,Disco
730,Precious Wilson,Hold On I'm Coming / Funky Dancer (You Got Me Dancing),1979,Single,Disco
731,Shalamar,The Second Time Around / Leave It All Up to Love,1979,Single,Disco
732,Inner Life,I'm Caught Up (In a One Night Love Affair),1979,Single,Disco
733,Chic,My Forbidden Lover / What About Me,1979,Single,Disco
734,Phyllis Hyman,You Know How to Love Me / Give a Little More,1979,Single,Disco
735,Dan Hartman,Relight My Fire / Vertigo,1979,Single,Disco
736,Gene Chandler,Get Down / Greatest Love Ever Known,1978,Single,Disco
737,Sheila & B. Devotion,Spacer / Don't Go,1979,Single,Disco
738,Bombers,(Everybody) Get Dancin',1979,Single,Disco
739,Bombers,Let's Dance / Shake,1979,Single,Disco
740,Bonnie Pointer,Heaven Must Have Sent You,1979,Single,Disco
741,Gibson Brothers,Que sera mi vida / West Indies,1979,Single,Disco
742,Fever,Standing in the Shadows of Love,1978,Single,Disco
743,Garçons,French Boy,1979,Single,Disco
744,Eddy Grant,Electric Avenue / Time Warp,1983,Single,Disco
745,Taana Gardner,Work That Body (Disco Mix) / Work That Body (Radio Edit),1979,Single,Disco
746,Junior Byron,Dance to the Music / Woman,1983,Single,Disco
747,Ednah Holt,People Come Dance,1979,Single,Disco
748,Edwin Birdsong,Phiss-Phizz / Goldmine,1979,Single,Disco
749,Instant Funk,Crying / Never Let It Go Away,1979,Single,Disco
750,First Choice,Double Cross,1979,Single,Disco
751,The Raes,Don't Turn Around,1979,Single,Disco
752,Cory Daye,Green Light / Pow Wow,1979,Single,Disco
753,Cory Daye,Pow Wow / Keep the Ball Rollin',1979,Single,Disco
754,Fantastic Four,I Got to Have Your Love / Ain't I Been Good to You,1977,Single,Disco
755,Cory Daye,Wiggle and a Giggle All Night / Single Again/What Time Does the Ball Go Up,1979,Single,Disco
756,Nightlife Unlimited,Disco Choo Choo,1979,Single,Disco
757,Viola Wills,Gonna Get Along Without You Now / Your Love,1979,Single,Disco
758,Ashford & Simpson,Flashback / Ain't It a Shame,1979,Single,Disco
759,Kelly Marie,Feels Like I'm in Love / I Can't Get Enough,1979,Single,Disco
760,Martin Circus,Martin Circus,1979,,Disco
761,La Flavour,Mandolay,1979,Single,Disco
762,Ashford & Simpson,Found a Cure / You Always Could,1979,Single,Disco
763,Kat Mandu,The Break / There's Only Been a Few,1979,Single,Disco
764,Instant Funk,Bodyshine / Scream and Shout,1979,Single,Disco
765,Deniece Williams,I've Got the Next Dance / When Love Comes Calling,1979,Single,Disco
766,GQ,Disco Nights (Rock-Freak) / Boogie Oogie Oogie,1979,Single,Disco
767,Cándido,Dancin' and Prancin' / Jingo,1979,Single,Disco
768,Sparque,Let's Go Dancin',1981,Single,Disco
769,Tamiko Jones,Can't Live Without Your Love,1979,Single,Disco
770,Jackie Moore,This Time Baby / Let's Go Somewhere and Make Love,1979,Single,Disco
771,Sparks,Beat the Clock,1979,Single,Disco
772,Anita Ward,Ring My Bell / If I Could Feel That Old Feeling Again,1979,Single,Disco
773,Amii Stewart,Knock on Wood / When You Are Beautiful,1979,Single,Disco
774,"Earth, Wind & Fire With The Emotions",Boogie Wonderland,1979,Single,Disco
775,The Jacksons,Shake Your Body (Down to the Ground) / That's What You Get (For Being Polite),1979,Single,Disco
776,Taana Gardner,When You Touch Me,1979,Single,Disco
777,Donna Summer,Bad Girls / On My Honor,1979,Single,Disco
778,Bunny Sigler,By the Way You Dance (I Knew It Was You) / I'm Funkin' You Tonight (With My Music),1979,Single,Disco
779,Duncan Sisters,Boys Will Be Boys / You Give Me Such a Feeling,1979,Single,Disco
780,High Inergy,Shoulda Gone Dancin' / Peaceland,1979,Single,Disco
781,Grey & Hanks,Now I'm Fine / Love's in Command,1980,Single,Disco
782,D.D. Sound,Café / Back Street Baby,1979,Single,Disco
783,Massara,Margherita (Part One & Two),1979,Single,Disco
784,Gino Soccio,Dancer / So Lonely,1979,Single,Disco
785,Ottawan,D.I.S.C.O.,1979,Single,Disco
786,Suzi Lane,Ooh La La / No One Home in the City,1979,Single,Disco
787,Suzi Lane,"Harmony / Ooh, La La",1979,Single,Disco
788,Chic,Good Times / A Warm Summer Night,1979,Single,Disco
789,"Lipps, Inc.",Funkytown / All Night Dancing,1980,Single,Disco
790,Michael Jackson,Rock With You / Working Day and Night,1979,Single,Disco
791,Michael Jackson,Don't Stop 'Til You Get Enough / I Can't Help It,1979,Single,Disco
792,Blondie,Heart of Glass / Rifle Range,1979,Single,Disco
793,Instant Funk,Everybody / Funk-n-Roll,1980,Single,Disco
794,Positive Force,We Got the Funk / Tell Me What You See,1979,Single,Disco
795,Sylvester,I Need You / Doin' It for the Real Thing,1980,Single,Disco
796,Kano,It's a War / Ahjia,1980,Single,Disco
797,Kid People,Life's a Party,1985,Single,Disco
798,Diana Ross,I'm Coming Out / Give Up,1980,Single,Disco
799,Neftali's Beast,Land of the Drums,1980,Single,Disco
800,Skyy,Skyyzoo / High,1980,Single,Disco
801,Sylvia Striplin,Give Me Your Love / You Can't Turn Me Away,1980,Single,Disco
802,Gayle Adams,Your Love Is a Life Saver / Stretch in Out,1980,Single,Disco
803,C. J. & Co.,Devil's Gun / Free to Be Me,1977,Single,Disco
804,Amii Stewart,The Letter / Paradise Bird,1980,Single,Disco
805,The S.O.S. Band,Take Your Time (Do It Right) (Part 1 & 2),1980,Single,Disco
806,Free Expression,Save the Last Dance for Me / Chill-Out!,1980,Single,Disco
807,Kid Creole & The Coconuts Presents Coati Mundi,Me No Pop I / Que pasa / Me No Pop I,1980,Single,Disco
808,Edwin Birdsong,Rapper Dapper Snapper,1980,Single,Disco
809,Judy Cheeks,Mercy / Come and Take This Love Away,1980,Single,Disco
810,Change,Searching / It's a Girl's Affair,1980,Single,Disco
811,Viola Wills,If You Could Read My Mind / Somebody's Eyes,1980,Single,Disco
812,Change,The Glow of Love / Searching,1980,Single,Disco
813,George Benson,"Give Me the Night / Dinorah, Dinorah",1980,Single,Disco
814,Loleatta Holloway,Love Sensation / Dance What 'Cha Wanna,1980,Single,Disco
815,Geraldine Hunt,Can't Fake the Feeling / Look All Around,1980,Single,Disco
816,Madleen Kane,Cherchez pas / Move Me With Your Love,1980,Single,Disco
817,Was (Not Was),Wheel Me Out,1980,Single,Disco
818,Diana Ross,Upside Down / Friend to Friend,1980,Single,Disco
819,Inner Life,Ain't No Mountain High Enough,1981,Single,Disco
820,Taana Gardner,Heartbeat,1981,Single,Disco
821,Skyy,Call Me / When You Touch Me,1981,Single,Disco
822,Debra DeJean,Are You Lovin' Somebody / You've Really Got a Hold On Me,1981,Single,Disco
823,The Undisputed Truth,You+Me=Love,1976,Single,Disco
824,Carol Jiani,Mercy / High Cost of Loving,1982,Single,Disco
825,Patrick Cowley,I Got a Line on You / X-Factor,1981,Single,Disco
826,Brooklyn Express,(Spank) Sixty-Nine / Change Position (88),1981,Single,Disco
827,Odyssey,Going Back to My Roots / Baba Awa,1981,Single,Disco
828,Change,Paradise / Your Move,1981,Single,Disco
829,Kano,Can't Hold Back (Your Loving) / She's a Star,1981,Single,Disco
830,Gwen McCrae,Funky Sensation,1981,Single,Disco
831,Rafael Cameron,Boogie's Gonna Get Ya' / Daisy,1981,Single,Disco
832,Unlimited Touch,Searching to Find the One,1981,Single,Disco
833,Material,Bustin' Out / Over and Over,1981,Single,Disco
